GAME_ID,GAME_DATE_EST,TEAM_ID_home,PTS_home,SEASON,TEAM_ID_away,PTS_away
857504,2022-11-07,18,107,2022,20,120
857505,2022-11-07,22,127,2022,11,134
857506,2022-11-07,15,106,2022,2,109
857507,2022-11-07,9,112,2022,21,103
857508,2022-11-07,27,109,2022,8,115
857509,2022-11-07,7,96,2022,3,94
857510,2022-11-07,29,139,2022,14,116
857511,2022-11-07,10,116,2022,26,113
857512,2022-11-07,13,119,2022,6,117
857513,2022-11-09,2,128,2022,9,112
857514,2022-11-09,22,94,2022,7,87
857515,2022-11-09,4,95,2022,25,105
857516,2022-11-09,1,119,2022,29,125
857517,2022-11-09,12,119,2022,8,122
857518,2022-11-09,28,116,2022,11,109
857519,2022-11-09,18,117,2022,24,129
857520,2022-11-09,3,112,2022,20,85
857521,2022-11-09,5,111,2022,19,115
857522,2022-11-09,21,132,2022,17,136
857523,2022-11-09,27,122,2022,15,124
857524,2022-11-09,13,114,2022,14,101
857525,2022-11-09,26,127,2022,6,120
857526,2022-11-10,16,117,2022,4,112
857527,2022-11-10,30,113,2022,7,105
857528,2022-11-10,1,104,2022,23,95
857529,2022-11-10,19,95,2022,25,106
857530,2022-11-11,21,132,2022,28,113
857531,2022-11-11,10,106,2022,6,101
857532,2022-11-11,22,114,2022,24,97
857533,2022-11-11,2,131,2022,8,112
857534,2022-11-11,15,114,2022,18,103
857535,2022-11-11,14,114,2022,26,120
857536,2022-11-11,20,121,2022,9,112
857537,2022-11-11,27,111,2022,17,93
857538,2022-11-12,13,95,2022,3,110
857539,2022-11-12,30,121,2022,29,112
857540,2022-11-12,9,108,2022,2,117
857541,2022-11-12,16,132,2022,4,115
857542,2022-11-12,19,119,2022,11,106
857543,2022-11-12,23,121,2022,1,109
857544,2022-11-12,12,118,2022,28,104
857545,2022-11-12,7,117,2022,25,112
857546,2022-11-13,30,102,2022,15,92
857547,2022-11-13,5,103,2022,8,126
857548,2022-11-13,20,135,2022,21,145
857549,2022-11-13,6,124,2022,18,129
857550,2022-11-13,26,122,2022,10,115
857551,2022-11-13,23,105,2022,29,98
857552,2022-11-13,14,116,2022,3,103
857553,2022-11-14,11,106,2022,13,122
857554,2022-11-14,10,132,2022,27,95
857555,2022-11-14,2,126,2022,21,122
857556,2022-11-14,16,113,2022,24,112
857557,2022-11-14,9,111,2022,28,115
857558,2022-11-14,17,106,2022,1,121
857559,2022-11-14,22,105,2022,4,112
857560,2022-11-15,26,153,2022,3,121
857561,2022-11-15,19,113,2022,15,102
857562,2022-11-15,29,111,2022,20,118
857563,2022-11-15,25,117,2022,27,110
857564,2022-11-15,7,103,2022,13,101
857565,2022-11-16,19,124,2022,5,110
857566,2022-11-16,28,112,2022,16,104
857567,2022-11-16,4,113,2022,12,125
857568,2022-11-16,17,113,2022,6,98
857569,2022-11-16,22,108,2022,18,126
857570,2022-11-16,1,101,2022,2,126
857571,2022-11-16,30,120,2022,21,121
857572,2022-11-16,8,103,2022,20,106
857573,2022-11-16,7,92,2022,11,101
857574,2022-11-16,24,130,2022,10,119
857575,2022-11-17,13,96,2022,9,91
857576,2022-11-17,26,130,2022,27,112
857577,2022-11-17,25,107,2022,3,109
857578,2022-11-18,29,134,2022,24,133
857579,2022-11-18,19,109,2022,2,117
857580,2022-11-18,23,110,2022,17,102
857581,2022-11-18,5,107,2022,22,108
857582,2022-11-18,7,127,2022,8,99
857583,2022-11-18,15,121,2022,21,110
857584,2022-11-18,6,132,2022,4,122
857585,2022-11-18,30,107,2022,16,106
857586,2022-11-18,10,111,2022,20,101
857587,2022-11-18,11,91,2022,12,99
857588,2022-11-18,14,128,2022,9,121
857589,2022-11-19,1,124,2022,28,122
857590,2022-11-19,25,113,2022,29,118
857591,2022-11-19,12,114,2022,22,113
857592,2022-11-19,13,119,2022,27,97
857593,2022-11-19,23,109,2022,18,112
857594,2022-11-20,6,113,2022,16,87
857595,2022-11-20,26,137,2022,9,129
857596,2022-11-20,7,97,2022,8,98
857597,2022-11-20,3,127,2022,15,115
857598,2022-11-20,24,116,2022,20,95
857599,2022-11-20,30,106,2022,4,102
857600,2022-11-20,11,120,2022,10,127
857601,2022-11-20,14,123,2022,27,92
857602,2022-11-21,13,121,2022,29,114
857603,2022-11-21,6,114,2022,1,102
857604,2022-11-21,18,105,2022,16,101
857605,2022-11-21,5,121,2022,2,107
857606,2022-11-21,12,123,2022,22,102
857607,2022-11-21,17,119,2022,25,111
857608,2022-11-21,21,119,2022,20,129
857609,2022-11-21,19,128,2022,10,83
857610,2022-11-22,24,115,2022,14,105
857611,2022-11-22,8,108,2022,9,110
857612,2022-11-22,23,115,2022,3,106
857613,2022-11-22,15,109,2022,26,113
857614,2022-11-23,21,126,2022,8,131
857615,2022-11-23,17,113,2022,5,118
857616,2022-11-23,4,107,2022,23,101
857617,2022-11-23,12,101,2022,18,115
857618,2022-11-23,6,114,2022,25,96
857619,2022-11-23,1,115,2022,26,106
857620,2022-11-23,2,125,2022,7,112
857621,2022-11-23,16,113,2022,30,105
857622,2022-11-23,28,98,2022,3,112
857623,2022-11-23,27,110,2022,19,129
857624,2022-11-23,29,116,2022,9,125
857625,2022-11-23,10,124,2022,13,107
857626,2022-11-25,22,99,2022,23,107
857627,2022-11-25,4,110,2022,18,108
857628,2022-11-25,16,110,2022,30,107
857629,2022-11-25,12,128,2022,3,117
857630,2022-11-25,17,117,2022,6,102
857631,2022-11-25,20,129,2022,25,132
857632,2022-11-25,11,128,2022,1,122
857633,2022-11-25,15,132,2022,19,111
857634,2022-11-25,2,122,2022,26,104
857635,2022-11-25,21,123,2022,5,119
857636,2022-11-25,24,108,2022,9,102
857637,2022-11-25,10,129,2022,29,118
857638,2022-11-25,27,94,2022,14,105
857639,2022-11-25,13,104,2022,8,114
857640,2022-11-26,24,113,2022,29,112
857641,2022-11-26,11,118,2022,21,105
857642,2022-11-26,27,138,2022,14,143
857643,2022-11-26,28,105,2022,7,100
857644,2022-11-27,1,98,2022,16,106
857645,2022-11-27,13,114,2022,12,100
857646,2022-11-27,3,111,2022,25,97
857647,2022-11-27,20,123,2022,15,127
857648,2022-11-27,2,130,2022,30,121
857649,2022-11-27,22,103,2022,23,133
857650,2022-11-27,18,114,2022,10,137
857651,2022-11-27,17,124,2022,7,115
857652,2022-11-27,9,94,2022,6,102
857653,2022-11-28,2,140,2022,4,105
857654,2022-11-28,23,104,2022,1,101
857655,2022-11-28,30,142,2022,18,127
857656,2022-11-28,28,100,2022,6,88
857657,2022-11-28,3,109,2022,22,102
857658,2022-11-28,26,117,2022,24,122
857659,2022-11-28,29,107,2022,5,114
857660,2022-11-28,14,115,2022,12,116
857661,2022-11-28,19,105,2022,21,101
857662,2022-11-28,8,129,2022,11,113
857663,2022-11-29,25,112,2022,13,118
857664,2022-11-29,7,116,2022,10,113
857665,2022-11-29,9,110,2022,20,140
857666,2022-11-30,3,113,2022,30,107
857667,2022-11-30,2,134,2022,16,121
857668,2022-11-30,22,108,2022,1,125
857669,2022-11-30,6,113,2022,23,85
857670,2022-11-30,20,103,2022,17,109
857671,2022-11-30,21,119,2022,27,111
857672,2022-11-30,24,132,2022,5,113
857673,2022-11-30,19,126,2022,28,108
857674,2022-11-30,18,109,2022,15,101
857675,2022-11-30,8,120,2022,11,100
857676,2022-11-30,26,137,2022,12,114
857677,2022-11-30,29,125,2022,13,112
857678,2022-11-30,14,128,2022,25,109
857679,2022-12-01,9,131,2022,7,125
857680,2022-12-02,2,116,2022,16,120
857681,2022-12-02,1,117,2022,8,109
857682,2022-12-02,24,121,2022,11,122
857683,2022-12-02,17,129,2022,14,133
857684,2022-12-02,27,99,2022,19,117
857685,2022-12-02,3,114,2022,28,105
857686,2022-12-02,4,117,2022,30,116
857687,2022-12-02,29,139,2022,12,119
857688,2022-12-02,15,117,2022,23,109
857689,2022-12-02,6,107,2022,22,96
857690,2022-12-02,10,119,2022,5,111
857691,2022-12-03,20,100,2022,7,121
857692,2022-12-03,29,111,2022,25,116
857693,2022-12-03,13,96,2022,26,123
857694,2022-12-03,4,96,2022,17,105
857695,2022-12-03,18,128,2022,21,135
857696,2022-12-03,28,121,2022,22,108
857697,2022-12-03,10,120,2022,11,101
857698,2022-12-04,26,110,2022,5,101
857699,2022-12-04,27,95,2022,24,133
857700,2022-12-04,19,121,2022,8,106
857701,2022-12-04,30,119,2022,14,130
857702,2022-12-04,3,92,2022,2,103
857703,2022-12-04,9,112,2022,15,122
857704,2022-12-04,20,92,2022,6,81
857705,2022-12-04,25,116,2022,12,100
857706,2022-12-05,4,117,2022,13,119
857707,2022-12-05,10,104,2022,12,112
857708,2022-12-05,15,101,2022,16,93
857709,2022-12-05,28,110,2022,2,116
857710,2022-12-05,11,132,2022,23,123
857711,2022-12-05,22,102,2022,17,109
857712,2022-12-05,1,114,2022,21,121
857713,2022-12-05,7,130,2022,24,111
857714,2022-12-06,16,96,2022,9,116
857715,2022-12-06,8,115,2022,7,116
857716,2022-12-06,6,116,2022,14,102
857717,2022-12-07,17,126,2022,26,113
857718,2022-12-07,29,124,2022,10,123
857719,2022-12-07,28,126,2022,14,113
857720,2022-12-07,19,104,2022,9,98
857721,2022-12-07,20,113,2022,1,89
857722,2022-12-07,3,122,2022,4,116
857723,2022-12-07,15,123,2022,21,102
857724,2022-12-07,18,121,2022,12,115
857725,2022-12-07,22,116,2022,13,111
857726,2022-12-07,5,115,2022,30,111
857727,2022-12-07,24,98,2022,2,125
857728,2022-12-08,16,115,2022,13,110
857729,2022-12-08,27,118,2022,11,109
857730,2022-12-08,25,120,2022,8,121
857731,2022-12-09,22,113,2022,28,109
857732,2022-12-09,7,105,2022,17,106
857733,2022-12-09,4,102,2022,20,121
857734,2022-12-09,3,120,2022,1,116
857735,2022-12-09,15,114,2022,9,103
857736,2022-12-09,23,133,2022,14,122
857737,2022-12-09,12,121,2022,30,111
857738,2022-12-09,19,128,2022,24,117
857739,2022-12-09,6,95,2022,26,106
857740,2022-12-09,29,108,2022,18,118
857741,2022-12-10,16,111,2022,27,115
857742,2022-12-10,5,144,2022,7,115
857743,2022-12-10,30,107,2022,13,114
857744,2022-12-10,10,123,2022,2,107
857745,2022-12-10,6,110,2022,21,102
857746,2022-12-10,12,133,2022,3,136
857747,2022-12-10,8,115,2022,29,110
857748,2022-12-10,25,124,2022,18,118
857749,2022-12-11,9,117,2022,14,124
857750,2022-12-11,23,131,2022,4,113
857751,2022-12-11,1,123,2022,5,122
857752,2022-12-11,22,111,2022,28,99
857753,2022-12-11,19,129,2022,24,124
857754,2022-12-11,20,112,2022,26,99
857755,2022-12-11,11,97,2022,17,92
857756,2022-12-12,25,133,2022,18,112
857757,2022-12-12,30,100,2022,3,112
857758,2022-12-12,15,128,2022,1,103
857759,2022-12-12,27,112,2022,6,111
857760,2022-12-12,12,82,2022,16,87
857761,2022-12-12,13,113,2022,2,93
857762,2022-12-12,7,121,2022,21,114
857763,2022-12-13,17,128,2022,10,111
857764,2022-12-13,29,121,2022,19,100
857765,2022-12-13,14,118,2022,2,122
857766,2022-12-13,11,111,2022,24,97
857767,2022-12-13,23,123,2022,26,103
857768,2022-12-14,8,141,2022,30,128
857769,2022-12-14,13,99,2022,18,88
857770,2022-12-14,22,135,2022,1,124
857771,2022-12-14,12,125,2022,10,119
857772,2022-12-14,21,108,2022,16,110
857773,2022-12-14,28,123,2022,26,124
857774,2022-12-14,5,120,2022,20,128
857775,2022-12-14,7,90,2022,6,105
857776,2022-12-14,4,134,2022,9,141
857777,2022-12-14,27,112,2022,25,128
857778,2022-12-15,11,108,2022,16,111
857779,2022-12-15,29,132,2022,19,129
857780,2022-12-15,15,142,2022,17,101
857781,2022-12-15,13,95,2022,24,111
857782,2022-12-16,5,91,2022,20,114
857783,2022-12-16,14,126,2022,8,108
857784,2022-12-16,4,106,2022,1,125
857785,2022-12-16,28,116,2022,3,119
857786,2022-12-16,2,109,2022,22,117
857787,2022-12-16,21,110,2022,18,112
857788,2022-12-16,9,113,2022,26,122
857789,2022-12-16,23,118,2022,10,106
857790,2022-12-16,6,118,2022,12,112
857791,2022-12-16,7,130,2022,25,110
857792,2022-12-17,27,101,2022,16,111
