game_id,game_date,game_home_team,game_home_team_score,game_season,game_visitor_team,game_visitor_team_score
857470,2022-11-02,Knicks,99,2022,Hawks,112
857471,2022-11-02,Lakers,120,2022,Pelicans,117
857472,2022-11-03,Magic,130,2022,Warriors,129
857473,2022-11-03,Thunder,110,2022,Nuggets,122
857474,2022-11-04,Pacers,101,2022,Heat,99
857475,2022-11-04,Timberwolves,102,2022,Bucks,115
857476,2022-11-04,Wizards,86,2022,Nets,128
857477,2022-11-04,Mavericks,111,2022,Raptors,110
857478,2022-11-04,Grizzlies,130,2022,Hornets,99
857479,2022-11-04,Celtics,123,2022,Bulls,119
857480,2022-11-04,Spurs,106,2022,Clippers,113
857481,2022-11-04,Pistons,88,2022,Cavaliers,112
857482,2022-11-04,Pelicans,114,2022,Warriors,105
857483,2022-11-04,76ers,104,2022,Knicks,106
857484,2022-11-04,Suns,106,2022,Trail Blazers,108
857485,2022-11-04,Lakers,116,2022,Jazz,130
857486,2022-11-05,Magic,123,2022,Kings,126
857487,2022-11-05,Hornets,94,2022,Nets,98
857488,2022-11-05,Bucks,108,2022,Thunder,94
857489,2022-11-05,Nuggets,126,2022,Spurs,101
857490,2022-11-05,Suns,102,2022,Trail Blazers,82
857491,2022-11-05,Timberwolves,129,2022,Rockets,117
857492,2022-11-05,Hawks,124,2022,Pelicans,121
857493,2022-11-05,Knicks,118,2022,Celtics,133
857494,2022-11-06,Lakers,100,2022,Cavaliers,114
857495,2022-11-06,Raptors,113,2022,Bulls,104
857496,2022-11-06,Clippers,102,2022,Jazz,110
857497,2022-11-06,Grizzlies,103,2022,Wizards,97
857498,2022-11-07,Bulls,111,2022,Raptors,97
857499,2022-11-07,Heat,107,2022,Trail Blazers,110
857500,2022-11-07,76ers,100,2022,Suns,88
857501,2022-11-07,Pacers,129,2022,Pelicans,122
857502,2022-11-07,Hornets,100,2022,Wizards,108
857503,2022-11-07,Hawks,117,2022,Bucks,98
857504,2022-11-07,Timberwolves,107,2022,Knicks,120
857505,2022-11-07,Magic,127,2022,Rockets,134
857506,2022-11-07,Grizzlies,106,2022,Celtics,109
857507,2022-11-07,Pistons,112,2022,Thunder,103
857508,2022-11-07,Spurs,109,2022,Nuggets,115
857509,2022-11-07,Mavericks,96,2022,Nets,94
857510,2022-11-07,Jazz,139,2022,Lakers,116
857511,2022-11-07,Warriors,116,2022,Kings,113
857512,2022-11-07,Clippers,119,2022,Cavaliers,117
857513,2022-11-09,Celtics,128,2022,Pistons,112
857514,2022-11-09,Magic,94,2022,Mavericks,87
857515,2022-11-09,Hornets,95,2022,Trail Blazers,105
857516,2022-11-09,Hawks,119,2022,Jazz,125
857517,2022-11-09,Pacers,119,2022,Nuggets,122
857518,2022-11-09,Raptors,116,2022,Rockets,109
857519,2022-11-09,Timberwolves,117,2022,Suns,129
857520,2022-11-09,Nets,112,2022,Knicks,85
857521,2022-11-09,Bulls,111,2022,Pelicans,115
857522,2022-11-09,Thunder,132,2022,Bucks,136
857523,2022-11-09,Spurs,122,2022,Grizzlies,124
857524,2022-11-09,Clippers,114,2022,Lakers,101
857525,2022-11-09,Kings,127,2022,Cavaliers,120
857526,2022-11-10,Heat,117,2022,Hornets,112
857527,2022-11-10,Wizards,113,2022,Mavericks,105
857528,2022-11-10,Hawks,104,2022,76ers,95
857529,2022-11-10,Pelicans,95,2022,Trail Blazers,106
857530,2022-11-11,Thunder,132,2022,Raptors,113
857531,2022-11-11,Warriors,106,2022,Cavaliers,101
857532,2022-11-11,Magic,114,2022,Suns,97
857533,2022-11-11,Celtics,131,2022,Nuggets,112
857534,2022-11-11,Grizzlies,114,2022,Timberwolves,103
857535,2022-11-11,Lakers,114,2022,Kings,120
857536,2022-11-11,Knicks,121,2022,Pistons,112
857537,2022-11-11,Spurs,111,2022,Bucks,93
857538,2022-11-12,Clippers,95,2022,Nets,110
857539,2022-11-12,Wizards,121,2022,Jazz,112
857540,2022-11-12,Pistons,108,2022,Celtics,117
857541,2022-11-12,Heat,132,2022,Hornets,115
857542,2022-11-12,Pelicans,119,2022,Rockets,106
857543,2022-11-12,76ers,121,2022,Hawks,109
857544,2022-11-12,Pacers,118,2022,Raptors,104
857545,2022-11-12,Mavericks,117,2022,Trail Blazers,112
857546,2022-11-13,Wizards,102,2022,Grizzlies,92
857547,2022-11-13,Bulls,103,2022,Nuggets,126
857548,2022-11-13,Knicks,135,2022,Thunder,145
857549,2022-11-13,Cavaliers,124,2022,Timberwolves,129
857550,2022-11-13,Kings,122,2022,Warriors,115
857551,2022-11-13,76ers,105,2022,Jazz,98
857552,2022-11-13,Lakers,116,2022,Nets,103
857553,2022-11-14,Rockets,106,2022,Clippers,122
857554,2022-11-14,Warriors,132,2022,Spurs,95
857555,2022-11-14,Celtics,126,2022,Thunder,122
857556,2022-11-14,Heat,113,2022,Suns,112
857557,2022-11-14,Pistons,111,2022,Raptors,115
857558,2022-11-14,Bucks,106,2022,Hawks,121
857559,2022-11-14,Magic,105,2022,Hornets,112
857560,2022-11-15,Kings,153,2022,Nets,121
857561,2022-11-15,Pelicans,113,2022,Grizzlies,102
857562,2022-11-15,Jazz,111,2022,Knicks,118
857563,2022-11-15,Trail Blazers,117,2022,Spurs,110
857564,2022-11-15,Mavericks,103,2022,Clippers,101
857565,2022-11-16,Pelicans,124,2022,Bulls,110
857566,2022-11-16,Raptors,112,2022,Heat,104
857567,2022-11-16,Hornets,113,2022,Pacers,125
857568,2022-11-16,Bucks,113,2022,Cavaliers,98
857569,2022-11-16,Magic,108,2022,Timberwolves,126
857570,2022-11-16,Hawks,101,2022,Celtics,126
857571,2022-11-16,Wizards,120,2022,Thunder,121
857572,2022-11-16,Nuggets,103,2022,Knicks,106
857573,2022-11-16,Mavericks,92,2022,Rockets,101
857574,2022-11-16,Suns,130,2022,Warriors,119
857575,2022-11-17,Clippers,96,2022,Pistons,91
857576,2022-11-17,Kings,130,2022,Spurs,112
857577,2022-11-17,Trail Blazers,107,2022,Nets,109
857578,2022-11-18,Jazz,134,2022,Suns,133
857579,2022-11-18,Pelicans,109,2022,Celtics,117
857580,2022-11-18,76ers,110,2022,Bucks,102
857581,2022-11-18,Bulls,107,2022,Magic,108
857582,2022-11-18,Mavericks,127,2022,Nuggets,99
857583,2022-11-18,Grizzlies,121,2022,Thunder,110
857584,2022-11-18,Cavaliers,132,2022,Hornets,122
857585,2022-11-18,Wizards,107,2022,Heat,106
857586,2022-11-18,Warriors,111,2022,Knicks,101
857587,2022-11-18,Rockets,91,2022,Pacers,99
857588,2022-11-18,Lakers,128,2022,Pistons,121
857589,2022-11-19,Hawks,124,2022,Raptors,122
857590,2022-11-19,Trail Blazers,113,2022,Jazz,118
857591,2022-11-19,Pacers,114,2022,Magic,113
857592,2022-11-19,Clippers,119,2022,Spurs,97
857593,2022-11-19,76ers,109,2022,Timberwolves,112
857594,2022-11-20,Cavaliers,113,2022,Heat,87
857595,2022-11-20,Kings,137,2022,Pistons,129
857596,2022-11-20,Mavericks,97,2022,Nuggets,98
857597,2022-11-20,Nets,127,2022,Grizzlies,115
857598,2022-11-20,Suns,116,2022,Knicks,95
857599,2022-11-20,Wizards,106,2022,Hornets,102
857600,2022-11-20,Rockets,120,2022,Warriors,127
857601,2022-11-20,Lakers,123,2022,Spurs,92
857602,2022-11-21,Clippers,121,2022,Jazz,114
857603,2022-11-21,Cavaliers,114,2022,Hawks,102
857604,2022-11-21,Timberwolves,105,2022,Heat,101
857605,2022-11-21,Bulls,121,2022,Celtics,107
857606,2022-11-21,Pacers,123,2022,Magic,102
857607,2022-11-21,Bucks,119,2022,Trail Blazers,111
857608,2022-11-21,Thunder,119,2022,Knicks,129
857609,2022-11-21,Pelicans,128,2022,Warriors,83
857610,2022-11-22,Suns,115,2022,Lakers,105
857611,2022-11-22,Nuggets,108,2022,Pistons,110
857612,2022-11-22,76ers,115,2022,Nets,106
857613,2022-11-22,Grizzlies,109,2022,Kings,113
857614,2022-11-23,Thunder,126,2022,Nuggets,131
857615,2022-11-23,Bucks,113,2022,Bulls,118
857616,2022-11-23,Hornets,107,2022,76ers,101
857617,2022-11-23,Pacers,101,2022,Timberwolves,115
857618,2022-11-23,Cavaliers,114,2022,Trail Blazers,96
857619,2022-11-23,Hawks,115,2022,Kings,106
857620,2022-11-23,Celtics,125,2022,Mavericks,112
857621,2022-11-23,Heat,113,2022,Wizards,105
857622,2022-11-23,Raptors,98,2022,Nets,112
857623,2022-11-23,Spurs,110,2022,Pelicans,129
857624,2022-11-23,Jazz,116,2022,Pistons,125
857625,2022-11-23,Warriors,124,2022,Clippers,107
857626,2022-11-25,Magic,99,2022,76ers,107
